user_code;categoria;descricao;receita_total;valor_total;rentabilidade_produto;pl_total_mes_atual;rentabilidade_cdi_mes_atual;data_posicao
99;Ações;VBBR3;8,03439E+15;4,03911E+15;1,98866E+16;43460455;;07/11/2023
99;Custodia Remunerada;EVTC31;8,03439E+15;3,41355E+15;2,35299E+15;43460455;;07/11/2023
99;COE;XP Autocall Tech FANG - 5,5 anos - Obs. SEM - 28.07.2021;8,03439E+15;90000;8,9261E+14;43460455;;07/11/2023
99;COE;XP Eletrobras 2030 RF Pre - Cupom Semestral - EXCLUSIVO - 6y05m - 22.09.2023;8,03439E+15;20286171875;3,96033E+16;43460455;;07/11/2023
99;COE;XP Man Fundo Multimercado - IPCA + Alta Ilimitada - 5y - 06.10.2021;8,03439E+15;22785296875;3,52597E+16;43460455;;07/11/2023
99;COE;XP MAP Trend - Bidirecional Alavancado - 5,5 anos - 29.07.2021;8,03439E+15;5,84445E+14;1,37447E+16;43460455;;07/11/2023
99;COE;XP COE Cannabis - Alta Limitada - 5y - 27.04.2021;8,03439E+15;50000;1,60656E+16;43460455;;07/11/2023
99;Proventos;ITUB4;8,03439E+15;3,2161E+15;2,49043E+15;43460455;;07/11/2023
99;Custodia Remunerada;BOVA11;8,03439E+15;1,95177E+12;4,11625E+15;43460455;;07/11/2023
99;Renda Fixa;CRA PLANAGRI - JUN/2028;8,03439E+15;2,19286E+13;3,66372E+15;43460455;;07/11/2023
99;Proventos;BRCO11;8,03439E+15;3,33E+15;2,34239E+16;43460455;;07/11/2023
99;Proventos;BRZP11;8,03439E+15;6,6505E+15;1,20627E+16;43460455;;07/11/2023
99;Renda Fixa;DEB CSN MINERACAO - JUL/2037;8,03439E+15;2,43885E+13;3,29421E+16;43460455;;07/11/2023
99;Renda Fixa;CRA KLABIN - MAI/2034;8,03439E+15;9499140625;8,45712E+13;43460455;;07/11/2023
99;Renda Fixa;DEB SIMPAR - DEZ/2032;8,03439E+15;5,40651E+14;1,48578E+15;43460455;;07/11/2023
99;Proventos;CPLE6;8,03439E+15;1,4928E+16;5,34628E+15;43460455;;07/11/2023
99;Renda Fixa;CDB BS2 - AGO/2026;8,03439E+15;3,72577E+12;2,15638E+15;43460455;;07/11/2023
99;Proventos;CMIG4;8,03439E+15;2,768E+15;2,80139E+15;43460455;;07/11/2023
99;Renda Fixa;CDB BANCO MASTER S/A - DEZ/2026;8,03439E+15;308671875;2,6028E+14;43460455;;07/11/2023
99;Renda Fixa;NTN-B - AGO/2030;8,03439E+15;8,59121E+13;9,35078E+15;43460455;;07/11/2023
99;Proventos;XPID11;8,03439E+15;2250;3,55504E+15;43460455;;07/11/2023
99;Renda Fixa;NTN-F - JAN/2031;8,03439E+15;1,05996E+13;7,57917E+15;43460455;;07/11/2023
99;Renda Fixa;CDB FIBRA - JUL/2025;8,03439E+15;1,08953E+14;7,37351E+15;43460455;;07/11/2023
99;Renda Fixa;CRA UBYFOL - JUL/2028;8,03439E+15;5,36358E+13;1,49767E+16;43460455;;07/11/2023
99;Tesouro Direto;NTN-B;8,03439E+15;5,3348E+11;1,506E+16;43460455;;07/11/2023
